prot_name,log2(FC),#NAME?
5061,9.432972413,2.128709678
1954,9.416143483,2.364600929
5077,9.412189709,2.235672281
1333,9.402335396,2.48541354
2220,9.398893423,3.295063192
1987,9.394829943,1.67109939
6277,9.382818621,2.174811246
3535,9.37895292,3.129384274
6158,9.375064417,3.28401787
3239,9.365575906,2.820342956
4556,9.357732228,1.922303776
1349,9.356102239,2.235918582
4387,9.346809826,2.362998269
2456,9.322256398,1.576857776
2514,9.318295062,3.19487515
3833,9.317239924,2.301866907
1829,9.316194622,2.241486981
3649,9.311129821,2.135714885
2842,9.307909261,1.772265051
376,9.300102982,2.697943406
178,9.29897947,2.650093079
369,9.295529321,2.362950394
366,9.291081198,2.131072347
1138,9.287296887,2.485307837
7464,9.282041162,2.485302804
765,9.281093275,1.374046186
4583,9.278797051,2.840185188
354,9.266346532,2.053633047
2232,9.260076469,1.975305833
6756,9.254340759,2.754575077
6470,9.248217616,1.908245626
2005,9.245321951,2.744268132
1793,9.237073472,3.294917064
752,9.236312046,1.630958911
5529,9.235311736,1.366362472
1910,9.231849371,1.697551777
7288,9.220560714,1.595084324
3252,9.21689559,3.294897721
372,9.214947042,2.248778404
1206,9.211613292,2.414230087
6401,9.205269547,1.799280568
4257,9.203117667,2.184055634
371,9.198633021,1.668877607
1912,9.197741974,1.586147635
566,9.195856746,1.581886324
6405,9.194015381,2.507199263
7347,9.191044574,1.748931689
1409,9.189146387,1.480000553
593,9.182799396,2.067253437
6238,9.174808298,2.228983643
449,9.172333897,1.473332926
5064,9.167477658,2.139137016
5884,9.167006335,2.321433356
2523,9.164699031,1.866606022
3225,9.145892453,2.593284566
2398,9.142063009,3.202610878
2698,9.127372058,1.393451167
3218,9.118411598,2.520374905
1554,9.104180227,2.836501681
2109,9.091012493,1.630811422
7185,9.083270078,2.141245867
214,9.082251313,1.34920749
5074,9.07693096,1.117130993
4541,9.074139611,2.364263621
6691,9.064296033,3.160274145
5070,9.060548946,1.539322477
6203,9.05787935,1.758327508
287,9.056169924,3.422312252
4975,9.051693107,2.093093409
7573,9.051181104,1.64474877
708,9.051154513,3.202514787
6068,9.04194284,1.917249184
5068,9.036247796,1.852505456
5520,9.029334264,1.532782682
5080,9.015478392,1.28831466
3995,9.011767741,2.232896203
6476,9.002940869,3.534508861
893,9.00201235,2.274788555
565,9.000698262,3.294049739
846,9.00005877,1.170353826
5963,8.993853626,1.694142372
6155,8.991565303,2.732245981
3642,8.975665112,2.622235173
5886,8.974229469,1.905443285
5079,8.97332628,1.900163107
5391,8.967874432,1.585901624
1602,8.964695351,1.14288441
6807,8.96359456,2.819925747
677,8.955808638,2.038330047
5816,8.955547364,1.749763731
4552,8.953601327,1.997204886
2828,8.94934271,2.162410951
3234,8.947619854,3.151376122
5868,8.941280439,1.872787797
4550,8.937682999,2.241082043
